Metric,moving-bicycle,moving-bus,moving-car,moving-heavy-truck,moving-light-truck,moving-motorcycle,stationary-bicycle-offstreet,stationary-bicycle-onstreet,stationary-bus-onstreet,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet,stationary-motorcycle-offstreet,stationary-motorcycle-onstreet,x_other
TP,1.0,3.0,40.0,3.0,4.0,0.0,0.0,1.0,0.0,45.0,369.0,0.0,1.0,2.0,22.0,0.0,2.0,0.0
FP,1.0,1.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,13.0,28.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0
