Metric,moving-bicycle,moving-bus,moving-car,moving-heavy-truck,moving-light-truck,moving-motorcycle,stationary-bicycle-offstreet,stationary-bicycle-onstreet,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet,stationary-motorcycle-offstreet,stationary-motorcycle-onstreet,x_other
TP,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,16.0,104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FP,0.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,21.0,33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
