                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.00792,                 6.6052,                 1.3645,                0.61037,                0.58932,                 0.5921,                0.28244,                0.00975,                  6.949,                 1.4047,             0.00066445,             0.00066445,             0.00066445
                     36,                0.00784,                 6.5329,                 1.3418,                 0.6931,                0.51399,                0.59501,                0.28911,                0.00951,                 6.7896,                 1.3652,             0.00066299,             0.00066299,             0.00066299
                     37,                0.00773,                 6.4042,                 1.3426,                0.68408,                0.52862,                0.60148,                0.29215,                0.00937,                 6.7582,                 1.3506,             0.00066153,             0.00066153,             0.00066153
                     38,                0.00769,                 6.4077,                 1.3508,                0.73283,                0.52076,                0.60497,                0.28915,                0.00949,                 6.6518,                 1.3749,             0.00066007,             0.00066007,             0.00066007
                     39,                0.00769,                 6.5992,                 1.3442,                0.61341,                 0.5341,                0.54903,                0.28026,                0.00907,                 6.8822,                 1.3156,             0.00065862,             0.00065862,             0.00065862
                     40,                0.00791,                 6.4012,                 1.3415,                0.69337,                  0.505,                0.57876,                0.27798,                 0.0096,                  6.886,                  1.394,             0.00065716,             0.00065716,             0.00065716
                     41,                0.00802,                 7.1251,                 1.3683,                0.64191,                0.54093,                0.57409,                 0.2706,                0.00982,                 7.2651,                 1.4261,              0.0006557,              0.0006557,              0.0006557
                     42,                0.00774,                 6.5471,                 1.3499,                0.67651,                0.54219,                0.57113,                0.26917,                0.00985,                 7.4158,                 1.4501,             0.00065424,             0.00065424,             0.00065424
                     43,                0.00761,                 6.1846,                 1.3275,                0.64588,                0.54471,                0.58057,                0.27499,                0.00963,                  7.066,                 1.3928,             0.00065279,             0.00065279,             0.00065279
                     44,                0.00766,                 6.2702,                 1.3175,                0.61807,                0.57063,                0.57445,                0.27139,                0.00975,                 7.0413,                 1.3991,             0.00065133,             0.00065133,             0.00065133
                     45,                0.00779,                 6.4104,                 1.3447,                0.65161,                0.53863,                0.57641,                0.27892,                0.00944,                 6.8215,                 1.3823,             0.00064987,             0.00064987,             0.00064987
                     46,                 0.0076,                 6.1498,                 1.3335,                0.67395,                0.52775,                0.57866,                0.28158,                0.00926,                 6.8168,                 1.3649,             0.00064841,             0.00064841,             0.00064841
                     47,                0.00795,                 6.9828,                  1.379,                0.68516,                 0.5008,                0.57492,                0.28142,                0.00933,                 6.8326,                 1.3553,             0.00064696,             0.00064696,             0.00064696
                     48,                0.00776,                 6.2945,                 1.3299,                0.68456,                0.52578,                0.57993,                0.27552,                0.00972,                 7.0585,                 1.4175,              0.0006455,              0.0006455,              0.0006455
                     49,                 0.0074,                 6.1747,                 1.3062,                0.62667,                0.54597,                0.57856,                0.27314,                0.00982,                 6.9193,                 1.4064,             0.00064404,             0.00064404,             0.00064404
                     50,                 0.0076,                 6.4928,                 1.3476,                0.71123,                0.53279,                0.59995,                0.29109,                0.00969,                 7.4202,                 1.4332,             0.00064258,             0.00064258,             0.00064258
                     51,                0.00738,                  6.119,                 1.2912,                0.66735,                0.57521,                0.59969,                 0.3013,                0.00915,                 6.5614,                 1.3564,             0.00064113,             0.00064113,             0.00064113
                     52,                0.00778,                 6.3534,                 1.3434,                0.68755,                 0.5176,                0.57873,                0.26785,                0.00988,                 6.8831,                 1.4088,             0.00063967,             0.00063967,             0.00063967
                     53,                0.00753,                 6.0299,                 1.3088,                0.65091,                0.53537,                 0.5676,                0.28117,                0.00927,                 6.7883,                 1.3523,             0.00063821,             0.00063821,             0.00063821
                     54,                0.00758,                 6.1441,                 1.3108,                0.62686,                0.55994,                0.58331,                0.28315,                0.00954,                 7.0011,                 1.3987,             0.00063675,             0.00063675,             0.00063675
                     55,                0.00763,                 6.2581,                 1.3263,                0.58548,                0.58697,                0.59111,                0.29073,                0.00943,                  6.685,                 1.3893,              0.0006353,              0.0006353,              0.0006353
                     56,                0.00758,                 6.3407,                 1.3278,                0.66993,                0.56669,                0.60882,                0.29339,                0.00947,                 6.7803,                  1.386,             0.00063384,             0.00063384,             0.00063384
                     57,                0.00769,                 6.3123,                 1.3442,                0.58214,                0.55807,                0.57354,                0.27192,                0.00981,                 7.0013,                 1.4194,             0.00063238,             0.00063238,             0.00063238
                     58,                0.00767,                 6.2253,                 1.3481,                 0.6852,                0.53292,                0.57949,                0.28943,                0.00922,                 6.9547,                 1.3442,             0.00063092,             0.00063092,             0.00063092
                     59,                0.00765,                 6.1811,                 1.3252,                0.62928,                0.58695,                0.61007,                0.28171,                0.00998,                 6.7076,                 1.4227,             0.00062947,             0.00062947,             0.00062947
