Metric,moving-bicycle,moving-bus,moving-car,moving-heavy-truck,moving-light-truck,moving-motorcycle,stationary-bicycle-offstreet,stationary-bicycle-onstreet,stationary-bus-onstreet,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet,stationary-motorcycle-offstreet,stationary-motorcycle-onstreet,x_other
TP,2.0,5.0,61.0,4.0,12.0,0.0,0.0,2.0,0.0,60.0,490.0,0.0,2.0,3.0,32.0,0.0,7.0,0.0
FP,1.0,2.0,40.0,3.0,14.0,1.0,0.0,2.0,1.0,32.0,98.0,0.0,1.0,4.0,21.0,0.0,1.0,0.0
