Metric,moving-car,moving-heavy-truck,moving-light-truck,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet
TP,31.0,3.0,10.0,30.0,357.0,0.0,2.0,0.0,22.0
FP,12.0,0.0,1.0,5.0,46.0,0.0,1.0,0.0,11.0
