Metric,moving-bicycle,moving-bus,moving-car,moving-heavy-truck,moving-light-truck,moving-motorcycle,stationary-bicycle-offstreet,stationary-bicycle-onstreet,stationary-bus-onstreet,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet,stationary-motorcycle-offstreet,stationary-motorcycle-onstreet,x_other
TP,4.0,5.0,71.0,2.0,16.0,0.0,0.0,2.0,0.0,78.0,536.0,0.0,2.0,3.0,35.0,0.0,7.0,0.0
FP,4.0,5.0,99.0,8.0,37.0,3.0,0.0,7.0,2.0,81.0,243.0,0.0,6.0,12.0,49.0,0.0,5.0,1.0
