                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2226,                 2.2986,                  1.126,                0.44642,                0.12677,                0.07828,                0.04807,                 1.3341,                 3.7743,                 1.2425,              0.0002346,              0.0002346,              0.0002346
                      2,                 1.3226,                 1.7048,                 1.2012,                 0.3659,                0.13804,                0.03022,                0.01599,                 1.7219,                 10.745,                 1.7978,             0.00047072,             0.00047072,             0.00047072
                      3,                 1.4783,                 1.8047,                  1.315,                0.42818,                0.08995,                0.04355,                0.02171,                  1.563,                 3.2967,                  1.517,             0.00070632,             0.00070632,             0.00070632
                      4,                 1.4586,                 1.8497,                 1.2833,                0.42818,                0.08995,                0.04355,                0.02171,                    nan,                    nan,                    nan,             0.00070825,             0.00070825,             0.00070825
                      5,                 1.4573,                 1.8303,                 1.2965,                0.42818,                0.08995,                0.04355,                0.02171,                    nan,                    nan,                    nan,             0.00070681,             0.00070681,             0.00070681
                      6,                 1.4133,                 1.7813,                 1.2403,                0.49259,                0.17136,                0.11366,                0.06513,                 1.4398,                 1.7639,                 1.2986,             0.00070542,             0.00070542,             0.00070542
                      7,                 1.3009,                  1.621,                 1.2023,                0.52489,                 0.1457,                0.13507,                0.07633,                 1.3178,                 1.6384,                 1.2315,               0.000704,               0.000704,               0.000704
                      8,                 1.3126,                 1.6011,                  1.228,                0.40875,                0.14852,                0.11087,                0.06297,                 1.3325,                 1.5615,                 1.2423,             0.00070257,             0.00070257,             0.00070257
                      9,                 1.3335,                 1.6107,                 1.2294,                0.51719,                0.16705,                0.12485,                0.07476,                 1.2918,                 1.5443,                 1.1918,             0.00070115,             0.00070115,             0.00070115
                     10,                 1.3024,                 1.4777,                 1.2009,                0.63765,                0.16279,                0.15278,                0.09286,                 1.2891,                 1.5042,                 1.2168,              0.0006997,              0.0006997,              0.0006997
                     11,                 1.2709,                 1.5013,                 1.2265,                0.46323,                0.20272,                0.12606,                0.07049,                 1.2559,                  1.507,                   1.17,             0.00069829,             0.00069829,             0.00069829
                     12,                 1.2108,                 1.4483,                 1.1774,                0.42112,                0.20446,                0.16116,                0.09436,                 1.2679,                  1.428,                 1.1936,             0.00069687,             0.00069687,             0.00069687
                     13,                 1.2634,                  1.433,                 1.1857,                0.46322,                 0.1971,                0.13541,                0.07852,                 1.2633,                 1.4245,                 1.1903,             0.00069544,             0.00069544,             0.00069544
                     14,                 1.2808,                 1.4578,                 1.1927,                0.47737,                0.16259,                0.14183,                0.08112,                 1.1927,                 1.5145,                 1.1472,             0.00069407,             0.00069407,             0.00069407
                     15,                 1.2563,                  1.385,                 1.1765,                0.54244,                0.19306,                0.18012,                0.10075,                 1.2012,                 1.3588,                 1.1789,             0.00069263,             0.00069263,             0.00069263
                     16,                 1.2213,                  1.403,                 1.1391,                 0.4244,                0.26596,                0.16277,                0.09412,                 1.1945,                 1.3667,                 1.1252,              0.0006911,              0.0006911,              0.0006911
                     17,                 1.1618,                 1.3409,                 1.1275,                0.45819,                0.20492,                0.18536,                0.11065,                  1.203,                 1.3019,                 1.1673,             0.00068963,             0.00068963,             0.00068963
                     18,                 1.2478,                 1.3603,                 1.1664,                0.39746,                0.22324,                0.17981,                 0.1033,                 1.1866,                 1.3327,                  1.144,             0.00068816,             0.00068816,             0.00068816
                     19,                 1.1573,                 1.3034,                 1.1437,                 0.4374,                0.22674,                0.19739,                0.11508,                 1.1444,                 1.2421,                 1.1131,             0.00068675,             0.00068675,             0.00068675
