Actual,moving-vehicle,stationary-vehicle-offstreet,stationary-vehicle-onstreet,background
moving-vehicle,108.0,5.0,16.0,22.0
stationary-vehicle-offstreet,11.0,87.0,16.0,22.0
stationary-vehicle-onstreet,41.0,21.0,620.0,64.0
background,70.0,58.0,115.0,0.0
