                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02526,                 9.1585,                 1.5524,                0.67345,                0.52962,                0.57823,                   0.34,                0.01932,                 5.8325,                 1.1182,             0.00019628,             0.00019628,             0.00019628
                      2,                0.02389,                 7.4635,                 1.3644,                0.61567,                0.54145,                 0.5675,                 0.3354,                0.02036,                 6.4616,                 1.1468,             0.00039408,             0.00039408,             0.00039408
                      3,                 0.0235,                 7.3447,                  1.361,                0.62096,                 0.5772,                0.60884,                 0.3587,                 0.0203,                 5.4066,                 1.1463,             0.00059055,             0.00059055,             0.00059055
                      4,                0.02273,                 7.1226,                 1.3323,                0.66943,                0.54333,                0.60002,                 0.3577,                0.01943,                 6.4167,                 1.1153,             0.00070685,             0.00070685,             0.00070685
                      5,                0.02289,                 7.4439,                 1.3396,                0.59847,                0.59373,                0.59046,                0.32167,                0.02218,                 5.6559,                 1.2088,             0.00070446,             0.00070446,             0.00070446
                      6,                 0.0232,                 7.1905,                 1.3178,                0.62366,                0.58568,                0.61664,                0.35846,                0.02068,                  5.141,                 1.1595,             0.00070208,             0.00070208,             0.00070208
                      7,                0.02171,                 6.4342,                 1.2607,                0.66774,                0.55646,                0.62251,                0.37719,                0.01946,                  5.274,                 1.1261,             0.00069969,             0.00069969,             0.00069969
                      8,                0.02157,                 6.4223,                 1.2294,                0.62625,                 0.5922,                0.62739,                0.36788,                0.02038,                 5.1394,                  1.136,             0.00069731,             0.00069731,             0.00069731
                      9,                0.02198,                 6.4062,                 1.2898,                0.64107,                0.58482,                0.61339,                0.35225,                0.02063,                 5.4261,                 1.1517,             0.00069492,             0.00069492,             0.00069492
                     10,                0.02231,                 6.6459,                 1.2882,                0.59061,                0.56621,                0.58078,                 0.3351,                0.02064,                 5.4712,                 1.1541,             0.00069254,             0.00069254,             0.00069254
                     11,                0.02161,                 6.4939,                 1.2793,                 0.6946,                0.56821,                0.62429,                0.36881,                0.02032,                 5.0581,                 1.1512,             0.00069015,             0.00069015,             0.00069015
                     12,                0.02142,                 6.4253,                 1.2513,                0.59655,                0.60487,                0.62615,                0.37763,                0.01893,                 4.9626,                 1.1048,             0.00068777,             0.00068777,             0.00068777
