                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.00741,                 5.3648,                 1.5031,                0.64676,                0.50329,                0.54525,                0.22912,                0.00929,                 4.2788,                 1.5303,             0.00069286,             0.00069286,             0.00069286
                     36,                0.00723,                 4.8511,                 1.4302,                0.63301,                0.55419,                0.59328,                0.27118,                 0.0085,                 4.1125,                 1.4349,             0.00069224,             0.00069224,             0.00069224
                     37,                0.00751,                 5.2866,                 1.4818,                0.57229,                0.55059,                0.55658,                0.22766,                0.00952,                 4.2765,                 1.5958,             0.00069161,             0.00069161,             0.00069161
                     38,                0.00735,                 5.0508,                 1.4821,                0.61272,                0.54409,                0.56736,                 0.2482,                0.00893,                 4.5046,                 1.5135,             0.00069099,             0.00069099,             0.00069099
                     39,                0.00735,                 4.9631,                 1.4669,                0.66939,                 0.5092,                0.58458,                0.26229,                0.00885,                 4.2609,                 1.5297,             0.00069037,             0.00069037,             0.00069037
                     40,                0.00731,                 4.9439,                 1.4689,                0.63214,                0.50268,                0.53232,                0.24581,                0.00876,                 4.4827,                 1.5272,             0.00068975,             0.00068975,             0.00068975
                     41,                0.00728,                 5.2485,                 1.4782,                0.58276,                0.54774,                 0.5537,                0.24618,                0.00887,                 4.2438,                 1.5187,             0.00068913,             0.00068913,             0.00068913
                     42,                0.00748,                 5.2067,                 1.4621,                0.58393,                0.55171,                0.56465,                0.24344,                0.00899,                 4.1263,                 1.5185,              0.0006885,              0.0006885,              0.0006885
                     43,                 0.0075,                 5.2276,                 1.4911,                0.69669,                0.48187,                0.55934,                0.25026,                0.00848,                 4.2827,                 1.4386,             0.00068788,             0.00068788,             0.00068788
                     44,                 0.0074,                 5.0189,                  1.483,                0.63633,                0.55324,                0.58016,                0.24977,                0.00902,                 4.3073,                 1.5436,             0.00068726,             0.00068726,             0.00068726
                     45,                0.00737,                 5.0639,                 1.4785,                0.63545,                0.54546,                0.59195,                0.26209,                 0.0087,                 4.1569,                 1.4973,             0.00068664,             0.00068664,             0.00068664
                     46,                0.00711,                 5.0979,                 1.4506,                0.69074,                0.54957,                0.60615,                0.27408,                0.00847,                 4.0194,                 1.4621,             0.00068602,             0.00068602,             0.00068602
                     47,                0.00732,                 5.0193,                 1.4611,                0.61318,                0.54147,                0.57643,                0.29145,                 0.0079,                 4.8064,                 1.4089,              0.0006854,              0.0006854,              0.0006854
                     48,                0.00736,                 4.9399,                  1.462,                0.66516,                  0.533,                0.59867,                0.28242,                 0.0084,                 3.9359,                 1.4506,             0.00068477,             0.00068477,             0.00068477
                     49,                0.00725,                 5.0177,                  1.491,                0.57217,                0.56672,                0.57805,                0.26005,                0.00868,                 4.2333,                 1.5003,             0.00068415,             0.00068415,             0.00068415
                     50,                0.00745,                 5.2231,                 1.4928,                0.68988,                0.49501,                0.58306,                0.25915,                0.00876,                 4.3083,                 1.5273,             0.00068353,             0.00068353,             0.00068353
                     51,                 0.0073,                 4.9075,                  1.415,                0.67293,                0.52525,                 0.5922,                0.26846,                0.00858,                  4.008,                 1.4739,             0.00068291,             0.00068291,             0.00068291
