Class ID,Class Name,Precision,Recall,mAP@0.5,mAP@0.5:0.95
0,moving-bicycle,0.6035414476743391,0.3333333333333333,0.40865778019910654,0.1620994081979716
1,moving-bus,0.7330113969437408,0.5022108285840674,0.564555477855478,0.46703739926739934
2,moving-car,0.5982082737312364,0.41139240506329117,0.4695837893292457,0.3037234688524769
3,moving-heavy-truck,0.5982535411755181,0.3000488512406448,0.37828118520257314,0.24515592983034998
4,moving-light-truck,0.4598928706271968,0.30434782608695654,0.3032034318158895,0.19869074922490007
5,moving-motorcycle,0.0,0.0,0.06282496798975672,0.03215512163892446
7,stationary-bicycle-offstreet,0.5043331171509295,0.6,0.5775780654988575,0.24087292710740854
9,stationary-bicycle-onstreet,0.6686545488703483,0.42038216560509556,0.5233006592993689,0.31272086156547
10,stationary-bus-onstreet,0.8202695148929797,0.7363252624892955,0.8317225495051109,0.5977533929110606
11,stationary-car-offstreet,1.0,0.0,0.0,0.0
12,stationary-car-onstreet,0.3953688748958147,0.25,0.31593849089495635,0.2494750297466203
13,stationary-heavy-truck-offstreet,0.37869066700512943,0.23076923076923078,0.1789179742332703,0.11397651261605717
14,stationary-heavy-truck-onstreet,0.5966955165499418,0.49295774647887325,0.4903689992689343,0.36645013913134383
15,stationary-light-truck-offstreet,1.0,0.0,0.0,0.0
16,stationary-light-truck-onstreet,0.8024441434492882,0.5384615384615384,0.528582495866251,0.23089968501264124
17,stationary-motorcycle-offstreet,1.0,0.0,0.010593276203032303,0.005396699626455725
