                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0165,                 1.0961,                 1.0598,                0.43928,                0.40626,                0.32235,                0.20266,                 1.1088,                 1.1028,                 1.0968,             0.00066074,             0.00066074,             0.00066074
                     35,                  1.046,                 1.0571,                 1.0757,                0.39235,                0.36114,                 0.3336,                0.21294,                 1.1162,                 1.1289,                 1.1019,             0.00065913,             0.00065913,             0.00065913
                     36,                 1.0709,                 1.0394,                 1.0593,                 0.4289,                0.39345,                0.33195,                 0.2165,                  1.077,                 1.0725,                 1.0695,             0.00065752,             0.00065752,             0.00065752
                     37,                 1.0093,                0.98445,                 1.0384,                0.51392,                 0.3274,                0.32687,                0.21044,                 1.0896,                  1.128,                 1.0932,              0.0006559,              0.0006559,              0.0006559
                     38,                 1.0741,                 1.0366,                  1.091,                0.51272,                0.38625,                0.34385,                0.22249,                 1.1074,                 1.1123,                 1.1002,             0.00065429,             0.00065429,             0.00065429
                     39,                 1.0367,                 1.0164,                 1.0721,                0.45693,                0.38146,                0.32379,                0.20817,                 1.0803,                 1.0824,                 1.0784,             0.00065267,             0.00065267,             0.00065267
                     40,                 1.0323,                 1.0621,                 1.0573,                0.38745,                0.42866,                0.37539,                0.23485,                 1.0829,                 1.1006,                 1.0814,             0.00065106,             0.00065106,             0.00065106
                     41,                 1.0158,                  1.022,                 1.0236,                0.53972,                0.36059,                0.34269,                0.22592,                 1.0909,                  1.077,                    1.1,             0.00064945,             0.00064945,             0.00064945
                     42,                  1.005,                0.96516,                 1.0743,                0.39633,                0.39374,                0.31383,                0.19881,                 1.0691,                 1.0688,                 1.0769,             0.00064798,             0.00064798,             0.00064798
                     43,                 1.0194,                0.99067,                  1.066,                0.45434,                0.38405,                0.32939,                0.20874,                 1.0752,                 1.1414,                 1.0736,             0.00064637,             0.00064637,             0.00064637
                     44,                0.99938,                0.97358,                  1.059,                 0.4376,                 0.3591,                0.31496,                0.20022,                 1.0961,                 1.1467,                 1.0889,             0.00064476,             0.00064476,             0.00064476
                     45,                0.98704,                 1.0021,                 1.0559,                0.39446,                0.39061,                0.32025,                0.20201,                 1.0733,                 1.0955,                 1.0825,             0.00064315,             0.00064315,             0.00064315
                     46,                0.96644,                0.97228,                 1.0563,                0.45623,                0.43991,                 0.3706,                0.23377,                 1.0559,                 1.0532,                 1.0564,             0.00064154,             0.00064154,             0.00064154
                     47,                 1.0231,                0.99713,                 1.0776,                0.46996,                0.42338,                0.35833,                0.23347,                 1.0711,                 1.0667,                 1.0877,             0.00063993,             0.00063993,             0.00063993
                     48,                 1.0748,                 1.0739,                 1.0728,                0.41862,                0.40952,                0.32268,                0.20138,                 1.0878,                 1.0723,                 1.0807,             0.00063832,             0.00063832,             0.00063832
                     49,                0.99867,                0.92715,                 1.0289,                 0.3588,                0.41439,                0.37121,                0.24115,                  1.062,                  1.064,                 1.0759,             0.00063671,             0.00063671,             0.00063671
                     50,                0.99938,                0.92988,                 1.0611,                0.49272,                0.40646,                0.37612,                 0.2378,                 1.0647,                  1.016,                 1.0706,              0.0006351,              0.0006351,              0.0006351
                     51,                0.99397,                0.94652,                 1.0257,                0.48412,                0.41585,                 0.3453,                0.22388,                 1.0708,                  1.064,                 1.0745,             0.00063367,             0.00063367,             0.00063367
                     52,                0.91831,                 0.9394,                 1.0223,                0.32411,                0.39396,                0.34024,                0.21468,                 1.0676,                 1.0562,                 1.0818,             0.00063207,             0.00063207,             0.00063207
                     53,                 1.0075,                0.99729,                 1.0637,                0.51258,                0.40103,                 0.3499,                0.22415,                 1.0467,                 1.0801,                  1.065,             0.00063027,             0.00063027,             0.00063027
                     54,                0.99777,                0.89757,                 1.0471,                0.32691,                0.40456,                0.33505,                0.21512,                 1.0549,                 1.0673,                 1.0818,             0.00062866,             0.00062866,             0.00062866
                     55,                0.95083,                0.89668,                 1.0209,                0.46679,                0.41803,                 0.3516,                0.22539,                 1.0782,                  1.022,                 1.0824,             0.00062685,             0.00062685,             0.00062685
                     56,                0.97885,                0.91446,                 1.0346,                 0.5273,                 0.3646,                0.36963,                0.24345,                   1.06,                0.99939,                 1.0727,             0.00062524,             0.00062524,             0.00062524
                     57,                0.93075,                0.87047,                 1.0276,                0.45876,                0.39142,                 0.3403,                0.22431,                 1.0491,                0.99344,                 1.0661,             0.00062363,             0.00062363,             0.00062363
                     58,                0.98881,                0.94876,                 1.0282,                0.33043,                0.43806,                 0.3489,                0.22699,                 1.0491,                 1.0268,                 1.0628,             0.00062201,             0.00062201,             0.00062201
                     59,                0.96977,                0.84617,                  1.028,                0.56543,                0.35503,                0.37358,                0.23694,                 1.0441,                0.98879,                 1.0622,              0.0006204,              0.0006204,              0.0006204
                     60,                0.97245,                 0.9164,                  1.038,                0.46039,                0.40124,                0.34764,                0.22132,                 1.0493,                  1.043,                  1.059,             0.00061878,             0.00061878,             0.00061878
                     61,                0.92782,                0.83081,                 1.0021,                0.57717,                  0.321,                0.35633,                0.22956,                 1.0406,                 1.0031,                 1.0591,             0.00061717,             0.00061717,             0.00061717
                     62,                 1.0081,                0.93923,                 1.0338,                0.34569,                0.41787,                0.35784,                0.23501,                 1.0415,                 1.0448,                 1.0698,             0.00061556,             0.00061556,             0.00061556
                     63,                0.94262,                0.89271,                 1.0013,                0.54179,                0.36367,                0.36772,                0.24272,                 1.0332,                 1.0116,                 1.0606,             0.00061394,             0.00061394,             0.00061394
                     64,                0.97664,                0.96613,                 1.0353,                0.59188,                 0.3373,                0.36632,                0.24248,                 1.0502,                 1.0476,                 1.0622,             0.00061233,             0.00061233,             0.00061233
                     65,                0.94476,                0.86547,                 1.0004,                0.40615,                0.37923,                 0.3693,                0.24326,                 1.0332,                0.95914,                 1.0607,             0.00061071,             0.00061071,             0.00061071
                     66,                0.95354,                0.86639,                0.99494,                0.45825,                0.31829,                0.31722,                0.20435,                 1.0577,                 1.1179,                  1.076,              0.0006091,              0.0006091,              0.0006091
                     67,                0.95305,                0.84529,                 1.0465,                0.51337,                0.38627,                0.36086,                0.23594,                 1.0228,                0.99344,                 1.0472,             0.00060749,             0.00060749,             0.00060749
