                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01585,                 11.819,                  2.257,                0.63627,                0.51491,                 0.5225,                0.25653,                0.01095,                 4.7451,                 1.2773,             0.00034694,             0.00034694,             0.00034694
                      2,                0.01303,                 6.8762,                 1.7239,                 0.6667,                0.48506,                0.53252,                0.25466,                0.01171,                 4.9323,                 1.4007,             0.00069688,             0.00069688,             0.00069688
                      3,                0.01205,                 6.5207,                 1.6132,                0.53398,                0.51108,                 0.5013,                0.23845,                0.01209,                 4.9221,                 1.3983,             0.00070983,             0.00070983,             0.00070983
                      4,                0.01219,                 6.3995,                 1.6301,                0.60484,                0.51032,                 0.5375,                0.21757,                 0.0129,                 4.7226,                  1.455,             0.00070775,             0.00070775,             0.00070775
                      5,                0.01139,                 6.1687,                 1.5455,                0.65461,                  0.531,                0.56267,                0.25084,                0.01262,                 4.1876,                 1.4532,             0.00070566,             0.00070566,             0.00070566
                      6,                0.01144,                 6.0203,                 1.5618,                0.56801,                0.55262,                0.54935,                 0.2467,                0.01245,                 4.4687,                  1.443,             0.00070358,             0.00070358,             0.00070358
                      7,                0.01113,                  5.516,                 1.5041,                 0.5974,                0.53879,                0.54145,                0.24792,                0.01252,                 4.3876,                 1.4464,              0.0007015,              0.0007015,              0.0007015
                      8,                0.01089,                 5.5217,                 1.4944,                0.59462,                0.54142,                0.55428,                0.25119,                0.01254,                 4.5073,                 1.4485,             0.00069941,             0.00069941,             0.00069941
                      9,                0.01157,                 5.9206,                 1.5481,                0.59728,                0.54063,                0.54627,                0.26043,                0.01164,                 4.4642,                   1.38,             0.00069733,             0.00069733,             0.00069733
                     10,                0.01115,                 5.5004,                 1.4954,                0.60776,                0.51277,                0.53816,                0.24177,                0.01295,                 4.8676,                 1.5213,             0.00069525,             0.00069525,             0.00069525
                     11,                  0.011,                 5.3832,                 1.4934,                0.60829,                0.50144,                0.54538,                0.23295,                 0.0128,                 4.9226,                 1.4952,             0.00069316,             0.00069316,             0.00069316
                     12,                0.01121,                 5.7191,                 1.5025,                0.59339,                0.52163,                0.56139,                0.25077,                0.01238,                  4.244,                 1.4398,             0.00069108,             0.00069108,             0.00069108
                     13,                0.01089,                 5.2566,                 1.4724,                0.59658,                0.50164,                0.53904,                0.23819,                0.01255,                 4.3811,                 1.4399,             0.00068899,             0.00068899,             0.00068899
                     14,                0.01082,                 5.2066,                 1.4717,                0.57009,                0.52997,                0.55015,                0.26718,                0.01161,                 4.2172,                 1.3765,             0.00068691,             0.00068691,             0.00068691
                     15,                0.01096,                 5.2895,                 1.4895,                0.61411,                0.55399,                0.57844,                0.25632,                 0.0123,                 4.3027,                  1.445,             0.00068483,             0.00068483,             0.00068483
                     16,                0.01059,                 5.2367,                 1.4485,                0.62339,                0.52422,                0.55599,                 0.2416,                0.01269,                 4.6001,                 1.4639,             0.00068274,             0.00068274,             0.00068274
                     17,                0.01084,                 5.0644,                  1.495,                0.64793,                0.53981,                 0.5888,                0.26487,                0.01229,                 4.2048,                 1.4687,             0.00068066,             0.00068066,             0.00068066
                     18,                0.01099,                 5.2553,                 1.4872,                0.60703,                0.49473,                0.53468,                0.22916,                0.01312,                 4.8031,                  1.519,             0.00067857,             0.00067857,             0.00067857
                     19,                0.01056,                 5.0031,                 1.4572,                0.60181,                0.51597,                0.55118,                0.25247,                0.01228,                 4.3896,                 1.4299,             0.00067649,             0.00067649,             0.00067649
                     20,                0.01056,                 5.0358,                   1.45,                0.56941,                0.53883,                 0.5337,                0.24832,                0.01246,                 4.2808,                 1.4446,             0.00067441,             0.00067441,             0.00067441
                     21,                0.01066,                 4.9604,                 1.4711,                0.60526,                0.53721,                 0.5645,                0.26273,                 0.0121,                 4.1144,                 1.4089,             0.00067232,             0.00067232,             0.00067232
                     22,                0.01058,                 5.1025,                 1.4464,                0.62699,                0.52405,                0.58058,                0.28188,                0.01149,                 3.9426,                 1.3633,             0.00067024,             0.00067024,             0.00067024
                     23,                0.01059,                 5.2113,                 1.4467,                0.66516,                0.50745,                0.56276,                0.25231,                0.01259,                 4.2605,                 1.4737,             0.00066816,             0.00066816,             0.00066816
                     24,                0.01059,                 4.9186,                 1.4528,                0.63779,                0.51862,                0.57021,                0.26436,                0.01203,                  4.122,                 1.4181,             0.00066607,             0.00066607,             0.00066607
                     25,                0.01031,                 4.7821,                 1.4404,                0.57162,                0.52597,                0.54671,                0.24036,                0.01267,                 4.4388,                 1.4586,             0.00066399,             0.00066399,             0.00066399
                     26,                0.01052,                 4.8171,                  1.443,                0.63397,                0.49237,                0.52944,                0.23573,                0.01304,                 4.5558,                 1.5111,              0.0006619,              0.0006619,              0.0006619
                     27,                0.01013,                 4.7711,                 1.4031,                0.63604,                0.50144,                0.55266,                0.24364,                0.01273,                 4.4532,                 1.4869,             0.00065982,             0.00065982,             0.00065982
                     28,                0.01052,                 4.6894,                 1.4274,                 0.6391,                0.51354,                0.55482,                0.26191,                 0.0121,                  4.296,                 1.4509,             0.00065774,             0.00065774,             0.00065774
                     29,                0.01037,                 4.9984,                 1.4204,                0.61193,                0.52414,                 0.5634,                0.25437,                0.01272,                 4.2262,                 1.4851,             0.00065565,             0.00065565,             0.00065565
                     30,                0.01026,                 4.8091,                 1.4431,                0.62893,                0.51204,                 0.5596,                0.26307,                0.01224,                 4.4968,                 1.4476,             0.00065357,             0.00065357,             0.00065357
                     31,                0.01064,                 4.9005,                 1.3959,                0.65546,                0.52793,                0.56914,                0.25876,                 0.0127,                 4.0658,                 1.4959,             0.00065148,             0.00065148,             0.00065148
                     32,                 0.0102,                 4.5885,                 1.4086,                0.63373,                0.53877,                0.57857,                0.26136,                 0.0126,                 4.1268,                 1.4919,              0.0006494,              0.0006494,              0.0006494
                     33,                0.01058,                 4.7554,                 1.4843,                0.62213,                0.55268,                0.57849,                0.26025,                0.01214,                 4.1882,                  1.419,             0.00064732,             0.00064732,             0.00064732
                     34,                0.01034,                 4.5995,                 1.3805,                0.61402,                0.52195,                0.56139,                0.25303,                0.01275,                 4.3445,                 1.5207,             0.00064523,             0.00064523,             0.00064523
                     35,                 0.0103,                 4.8214,                 1.4472,                0.63028,                0.50808,                0.57414,                0.27021,                0.01205,                 4.2374,                  1.443,             0.00064315,             0.00064315,             0.00064315
                     36,                0.01037,                 4.6574,                 1.4306,                0.66783,                0.52065,                0.58703,                0.26605,                0.01259,                   4.09,                 1.4662,             0.00064107,             0.00064107,             0.00064107
                     37,                0.01014,                 4.7276,                 1.4259,                 0.6571,                 0.5261,                 0.5881,                 0.2691,                0.01278,                 4.0975,                 1.5217,             0.00063898,             0.00063898,             0.00063898
                     38,                0.01021,                 4.7564,                 1.4216,                0.64528,                0.51071,                 0.5586,                0.26873,                0.01177,                 4.1459,                 1.4107,              0.0006369,              0.0006369,              0.0006369
