                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03167,                 12.506,                 2.4618,                 0.6442,                0.55826,                0.55462,                0.29517,                0.01907,                 5.2709,                 1.1844,             0.00014239,             0.00014239,             0.00014239
                      2,                0.02617,                 9.5574,                 1.7588,                0.63086,                0.55302,                0.58166,                0.23592,                0.02651,                 6.6016,                 1.4121,             0.00028521,             0.00028521,             0.00028521
                      3,                0.02603,                 9.3589,                 1.6864,                0.62696,                0.57753,                0.59561,                0.24075,                0.02758,                 7.1993,                 1.4979,             0.00042639,             0.00042639,             0.00042639
                      4,                0.02466,                 8.5151,                 1.5938,                0.66262,                0.51479,                0.59482,                0.24533,                0.02761,                 6.4332,                 1.5131,             0.00056594,             0.00056594,             0.00056594
                      5,                 0.0242,                 8.7874,                 1.6202,                0.64595,                0.48872,                0.55066,                0.23338,                0.02763,                 6.5006,                 1.5402,             0.00069779,             0.00069779,             0.00069779
                      6,                0.02374,                 8.4899,                 1.5807,                0.63462,                0.51334,                0.54537,                0.19005,                 0.0302,                  6.664,                 1.6383,             0.00069374,             0.00069374,             0.00069374
                      7,                0.02289,                 8.0776,                 1.5296,                0.63979,                 0.5193,                0.55186,                0.21291,                0.02893,                 6.6229,                 1.5642,             0.00068968,             0.00068968,             0.00068968
                      8,                0.02261,                 7.9141,                  1.525,                0.63956,                0.50173,                0.54967,                0.22465,                0.02762,                 6.9232,                 1.5188,             0.00068563,             0.00068563,             0.00068563
                      9,                0.02255,                 7.7725,                 1.5424,                0.63132,                0.55503,                0.58661,                0.25237,                0.02658,                 6.0252,                 1.4994,             0.00068158,             0.00068158,             0.00068158
                     10,                0.02286,                 7.4852,                 1.5205,                 0.6226,                0.58122,                0.57909,                0.23713,                0.02782,                 6.3368,                 1.5745,             0.00067753,             0.00067753,             0.00067753
                     11,                0.02157,                 7.3588,                 1.4892,                0.69632,                0.53946,                0.58094,                0.24852,                 0.0278,                 6.2523,                 1.5226,             0.00067347,             0.00067347,             0.00067347
                     12,                0.02245,                 7.6394,                 1.5162,                0.62044,                0.54274,                  0.558,                0.22761,                0.02765,                 6.3961,                 1.5272,             0.00066942,             0.00066942,             0.00066942
                     13,                0.02258,                 7.8079,                 1.5672,                0.64183,                0.55367,                0.59055,                0.24895,                0.02745,                 6.1208,                 1.5475,             0.00066537,             0.00066537,             0.00066537
                     14,                0.02221,                 7.6085,                 1.4816,                0.63113,                0.56532,                0.58442,                0.23627,                0.02833,                 6.3069,                 1.5761,             0.00066132,             0.00066132,             0.00066132
                     15,                0.02165,                 7.1637,                  1.454,                0.60426,                0.58169,                0.58869,                0.22983,                0.02892,                 6.6785,                   1.62,             0.00065726,             0.00065726,             0.00065726
                     16,                0.02098,                 6.7976,                 1.4508,                0.60377,                0.55468,                0.56732,                0.22346,                0.02831,                 6.4783,                 1.5872,             0.00065321,             0.00065321,             0.00065321
                     17,                0.02138,                 6.8471,                  1.489,                 0.6257,                0.55626,                0.58623,                0.23381,                0.02796,                 6.0225,                 1.5719,             0.00064916,             0.00064916,             0.00064916
                     18,                0.02212,                 7.2252,                 1.4567,                0.64839,                0.53024,                0.57027,                0.23625,                0.02804,                 6.6725,                 1.5833,             0.00064511,             0.00064511,             0.00064511
                     19,                0.02162,                   7.13,                  1.491,                0.71321,                0.55064,                 0.6026,                0.23338,                0.02854,                 6.3903,                 1.6257,             0.00064105,             0.00064105,             0.00064105
                     20,                0.02194,                 7.6336,                 1.4956,                 0.6659,                0.54745,                0.57136,                0.21898,                 0.0295,                 6.7324,                 1.6379,               0.000637,               0.000637,               0.000637
                     21,                0.02119,                 7.0761,                 1.4869,                0.65227,                0.53321,                0.57883,                 0.2268,                0.02808,                 6.2914,                 1.5991,             0.00063295,             0.00063295,             0.00063295
                     22,                0.02191,                  6.796,                 1.4652,                0.68967,                0.54231,                0.57278,                 0.2347,                0.02815,                 6.6037,                 1.5802,              0.0006289,              0.0006289,              0.0006289
                     23,                0.02167,                 7.0672,                 1.4842,                 0.6418,                0.56629,                0.61855,                 0.2526,                0.02779,                 6.1642,                 1.5728,             0.00062484,             0.00062484,             0.00062484
                     24,                0.02096,                 6.8407,                  1.445,                0.61768,                0.57494,                0.57277,                0.22436,                0.02786,                 6.4888,                  1.576,             0.00062079,             0.00062079,             0.00062079
                     25,                 0.0206,                 6.7955,                 1.4075,                0.64131,                0.56351,                0.59129,                0.25007,                 0.0265,                 6.3492,                 1.5189,             0.00061674,             0.00061674,             0.00061674
                     26,                0.02028,                  6.419,                 1.4372,                0.63319,                0.57799,                 0.6072,                  0.248,                0.02805,                 6.2222,                 1.5872,             0.00061269,             0.00061269,             0.00061269
                     27,                0.02101,                 6.5556,                 1.3965,                0.64249,                0.53595,                0.59311,                 0.2559,                0.02681,                 6.3213,                 1.5515,             0.00060863,             0.00060863,             0.00060863
                     28,                 0.0214,                 6.7231,                 1.4664,                0.65476,                0.56085,                0.60137,                0.24676,                0.02732,                 6.2377,                 1.5504,             0.00060458,             0.00060458,             0.00060458
                     29,                0.02071,                 6.6589,                  1.444,                0.59195,                0.57114,                0.60372,                0.29714,                0.02353,                 6.0599,                 1.4273,             0.00060053,             0.00060053,             0.00060053
                     30,                0.02064,                 6.8411,                 1.4728,                0.66089,                0.57503,                0.61576,                0.28639,                0.02474,                 5.9341,                 1.4486,             0.00059648,             0.00059648,             0.00059648
                     31,                0.02106,                 6.7195,                 1.4181,                0.65237,                 0.5577,                0.58513,                0.28252,                0.02408,                 6.0983,                 1.4326,             0.00059242,             0.00059242,             0.00059242
                     32,                0.02028,                 6.5698,                 1.4415,                0.64193,                0.55574,                0.58941,                 0.2571,                0.02694,                 6.1277,                 1.5938,             0.00058837,             0.00058837,             0.00058837
                     33,                0.02085,                 6.7017,                  1.444,                0.64967,                0.52564,                0.58723,                0.26218,                0.02542,                  5.971,                 1.4559,             0.00058432,             0.00058432,             0.00058432
                     34,                0.02099,                 6.7038,                 1.4514,                0.59918,                 0.5374,                0.56533,                0.24584,                0.02641,                 6.1567,                 1.5294,             0.00058027,             0.00058027,             0.00058027
                     35,                0.02001,                 6.4962,                 1.4154,                0.61916,                 0.5705,                0.59333,                0.24433,                0.02742,                 6.0494,                 1.5553,             0.00057621,             0.00057621,             0.00057621
                     36,                0.01986,                 6.3906,                 1.3497,                0.65251,                 0.5469,                0.56261,                0.23113,                0.02757,                 6.1414,                 1.5716,             0.00057216,             0.00057216,             0.00057216
                     37,                0.02026,                 6.7102,                 1.4149,                0.65389,                0.53487,                0.57142,                0.23991,                0.02638,                 6.0379,                 1.5251,             0.00056811,             0.00056811,             0.00056811
                     38,                0.02009,                 6.3829,                 1.3816,                0.64932,                0.56375,                0.57899,                0.22477,                0.02822,                 6.3007,                 1.5773,             0.00056406,             0.00056406,             0.00056406
                     39,                0.02084,                 6.8017,                 1.4139,                0.65957,                 0.5304,                0.57465,                0.26239,                0.02467,                 5.8413,                 1.4483,                0.00056,                0.00056,                0.00056
                     40,                0.01985,                 6.2951,                 1.4038,                0.58581,                0.55233,                0.56228,                0.26437,                0.02406,                 6.4695,                 1.4083,             0.00055595,             0.00055595,             0.00055595
                     41,                0.02109,                 6.4025,                 1.4299,                0.61763,                0.58583,                0.58913,                0.27893,                0.02441,                 5.8803,                 1.4289,              0.0005519,              0.0005519,              0.0005519
                     42,                0.01956,                 5.9832,                 1.4011,                0.67585,                0.54872,                0.59689,                0.25448,                0.02659,                 6.0914,                 1.5348,             0.00054785,             0.00054785,             0.00054785
                     43,                0.01955,                 6.2227,                 1.3826,                0.67382,                0.56784,                0.59481,                0.26737,                0.02551,                 6.2786,                 1.4891,             0.00054379,             0.00054379,             0.00054379
                     44,                 0.0196,                 6.5978,                 1.4128,                0.68637,                0.53748,                0.59369,                0.25018,                0.02673,                 5.9248,                  1.536,             0.00053974,             0.00053974,             0.00053974
                     45,                0.02079,                 6.6862,                 1.4746,                0.69134,                0.53193,                  0.595,                0.26899,                0.02494,                 5.9683,                 1.4619,             0.00053569,             0.00053569,             0.00053569
                     46,                0.01889,                  5.927,                 1.3859,                0.63572,                0.55227,                0.58807,                0.27481,                0.02472,                 5.9089,                 1.4597,             0.00053164,             0.00053164,             0.00053164
                     47,                 0.0199,                 6.3679,                 1.4133,                0.60101,                0.57761,                0.59213,                0.29026,                0.02356,                 5.8353,                 1.4193,             0.00052758,             0.00052758,             0.00052758
                     48,                0.02032,                 6.4783,                 1.3956,                0.70058,                0.52565,                0.60308,                0.26887,                0.02458,                 5.9002,                 1.4563,             0.00052353,             0.00052353,             0.00052353
                     49,                0.01972,                 6.0704,                 1.3823,                0.67961,                 0.5646,                0.59739,                0.27017,                0.02592,                 6.3184,                 1.5297,             0.00051948,             0.00051948,             0.00051948
                     50,                0.01914,                 5.9704,                 1.3985,                0.64524,                0.56826,                 0.5637,                0.26091,                0.02541,                 7.0511,                 1.5112,             0.00051543,             0.00051543,             0.00051543
                     51,                 0.0191,                 5.8315,                 1.3361,                 0.6503,                0.56344,                0.59125,                0.25649,                0.02589,                 6.1309,                 1.5133,             0.00051137,             0.00051137,             0.00051137
                     52,                 0.0197,                 6.0999,                 1.3848,                0.64405,                0.53761,                 0.5749,                0.24886,                0.02635,                 6.2234,                 1.5327,             0.00050732,             0.00050732,             0.00050732
                     53,                 0.0195,                 6.1207,                 1.3701,                0.67597,                 0.5298,                0.58665,                0.25007,                0.02683,                 6.1223,                 1.5559,             0.00050327,             0.00050327,             0.00050327
                     54,                0.01997,                 5.8624,                 1.3824,                0.65405,                0.55338,                0.58361,                0.26036,                0.02575,                   5.93,                 1.5228,             0.00049922,             0.00049922,             0.00049922
                     55,                0.01965,                 6.2421,                 1.4165,                0.61752,                0.56414,                 0.5761,                0.24975,                0.02563,                   6.21,                 1.5096,             0.00049516,             0.00049516,             0.00049516
                     56,                0.01956,                 5.6452,                 1.3851,                0.66279,                0.52433,                0.57495,                0.26208,                0.02498,                 6.0351,                  1.463,             0.00049111,             0.00049111,             0.00049111
                     57,                0.01958,                 6.0317,                  1.396,                0.67451,                0.56723,                0.61023,                0.29604,                0.02401,                 5.6948,                 1.4406,             0.00048706,             0.00048706,             0.00048706
                     58,                 0.0198,                 5.8298,                 1.4143,                0.66977,                0.53739,                0.58672,                0.26346,                0.02572,                  5.942,                  1.511,             0.00048301,             0.00048301,             0.00048301
                     59,                0.01896,                 5.7637,                 1.3998,                0.62885,                0.56608,                0.57364,                0.26393,                0.02561,                 5.9791,                 1.5036,             0.00047895,             0.00047895,             0.00047895
                     60,                 0.0199,                 6.0134,                 1.3909,                0.65706,                0.52438,                0.57381,                0.25887,                0.02576,                 6.0447,                    1.5,              0.0004749,              0.0004749,              0.0004749
                     61,                0.01963,                 5.8367,                 1.3762,                0.65635,                0.51906,                0.57123,                0.27005,                  0.024,                 6.0284,                 1.4094,             0.00047085,             0.00047085,             0.00047085
                     62,                0.02004,                 6.1587,                 1.3684,                0.65874,                0.55719,                0.60093,                0.27192,                0.02493,                 5.7557,                  1.453,              0.0004668,              0.0004668,              0.0004668
                     63,                  0.019,                 5.8645,                  1.338,                0.68295,                0.52647,                0.58269,                0.25819,                0.02593,                  6.119,                 1.5351,             0.00046274,             0.00046274,             0.00046274
                     64,                 0.0196,                 6.0888,                 1.3696,                 0.6624,                0.54532,                0.59864,                0.26393,                0.02584,                 6.0899,                 1.5241,             0.00045869,             0.00045869,             0.00045869
                     65,                0.02044,                 6.0978,                 1.3937,                 0.6271,                0.56968,                0.60208,                0.28596,                0.02398,                 5.8364,                 1.4215,             0.00045464,             0.00045464,             0.00045464
                     66,                0.01959,                 5.6879,                 1.3452,                0.66372,                0.51555,                0.58696,                0.25907,                 0.0259,                 6.1373,                 1.5337,             0.00045059,             0.00045059,             0.00045059
                     67,                0.01971,                 5.6607,                 1.3813,                0.67232,                0.55119,                0.59891,                0.26298,                0.02556,                 5.9231,                 1.5092,             0.00044653,             0.00044653,             0.00044653
                     68,                0.01917,                 5.7745,                 1.3515,                0.64432,                 0.5517,                0.57498,                0.27802,                0.02281,                 5.8602,                  1.374,             0.00044248,             0.00044248,             0.00044248
                     69,                0.01944,                 5.8851,                 1.3661,                0.66602,                0.56254,                0.60963,                0.28087,                0.02509,                 5.8271,                 1.4939,             0.00043843,             0.00043843,             0.00043843
                     70,                0.01937,                 5.8205,                 1.3976,                0.64067,                0.57518,                0.60861,                0.29111,                0.02364,                 5.7384,                 1.4023,             0.00043438,             0.00043438,             0.00043438
                     71,                0.01899,                 5.4313,                 1.3595,                0.69375,                0.57578,                0.61528,                0.29333,                0.02336,                 5.7372,                 1.3749,             0.00043032,             0.00043032,             0.00043032
                     72,                0.01867,                 5.2914,                 1.3239,                0.68309,                0.53498,                0.59923,                0.27785,                0.02456,                 5.9679,                 1.4683,             0.00042627,             0.00042627,             0.00042627
                     73,                0.01922,                 5.5546,                 1.3473,                0.69734,                0.55009,                0.60842,                0.28686,                0.02393,                 5.7585,                  1.436,             0.00042222,             0.00042222,             0.00042222
                     74,                0.01886,                 5.4901,                 1.3505,                0.60833,                 0.5544,                0.58314,                0.28576,                0.02306,                 5.8676,                 1.3905,             0.00041817,             0.00041817,             0.00041817
