Actual,moving-vehicle,stationary-vehicle-offstreet,stationary-vehicle-onstreet,background
moving-vehicle,59.0,3.0,5.0,2.0
stationary-vehicle-offstreet,4.0,51.0,9.0,2.0
stationary-vehicle-onstreet,34.0,10.0,509.0,28.0
background,133.0,107.0,244.0,0.0
