                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.069,                 0.9214,                 1.0908,                0.59942,                0.54244,                0.56663,                0.35333,                 1.1023,                0.95185,                 1.0852,             0.00066118,             0.00066118,             0.00066118
                     36,                   1.09,                0.91637,                 1.0717,                0.52073,                0.54634,                0.53421,                0.33989,                 1.0716,                 1.0161,                 1.0809,             0.00065975,             0.00065975,             0.00065975
                     37,                 1.0146,                0.92044,                 1.0374,                0.50361,                0.56662,                0.56372,                0.35269,                 1.1239,                0.96157,                 1.1078,             0.00065832,             0.00065832,             0.00065832
                     38,                 1.0854,                0.92343,                 1.0982,                0.64021,                0.54224,                0.54951,                0.35527,                 1.0851,                0.96709,                 1.0898,              0.0006569,              0.0006569,              0.0006569
                     39,                 1.0189,                 0.9042,                  1.062,                0.62949,                0.52916,                0.56613,                0.36135,                 1.1097,                0.97108,                 1.0898,             0.00065548,             0.00065548,             0.00065548
                     40,                 1.0552,                0.96776,                 1.0702,                 0.5906,                0.56454,                0.57741,                0.35476,                  1.071,                0.96432,                 1.0749,             0.00065407,             0.00065407,             0.00065407
                     41,                 1.0026,                0.91086,                 1.0156,                0.57008,                0.57515,                0.56151,                0.36168,                 1.0793,                0.95435,                 1.0815,             0.00065267,             0.00065267,             0.00065267
                     42,                0.99011,                0.87791,                  1.055,                0.60584,                0.58164,                0.58331,                0.35508,                 1.0827,                 0.9542,                 1.0712,             0.00065113,             0.00065113,             0.00065113
                     43,                 1.0283,                0.87624,                  1.083,                0.62385,                0.53396,                0.55852,                0.34446,                 1.0802,                 1.0043,                 1.0813,             0.00064974,             0.00064974,             0.00064974
                     44,                   0.99,                0.84435,                 1.0543,                0.58003,                 0.5548,                0.56216,                0.35371,                 1.0868,                0.95617,                 1.0985,             0.00064835,             0.00064835,             0.00064835
                     45,                 1.0187,                0.90829,                 1.0743,                0.61401,                0.57416,                0.59498,                0.37185,                 1.0725,                0.91481,                 1.0846,             0.00064697,             0.00064697,             0.00064697
                     46,                0.98303,                0.86906,                 1.0658,                0.64286,                 0.5418,                0.59894,                 0.3759,                  1.055,                0.89326,                 1.0688,             0.00064545,             0.00064545,             0.00064545
                     47,                 1.0262,                0.90251,                 1.0842,                0.59009,                0.61356,                 0.6012,                0.37661,                 1.0749,                0.90329,                 1.0797,             0.00064407,             0.00064407,             0.00064407
                     48,                 1.0795,                0.95219,                 1.0751,                  0.579,                0.58313,                0.57879,                0.35136,                 1.1201,                0.97553,                 1.1037,             0.00064255,             0.00064255,             0.00064255
                     49,                 1.0349,                0.85054,                 1.0565,                0.55665,                 0.5693,                0.55647,                0.35051,                 1.0513,                 1.0096,                 1.0732,             0.00064119,             0.00064119,             0.00064119
                     50,                 1.0011,                0.87243,                 1.0583,                0.64509,                0.57773,                0.61456,                 0.3836,                 1.0816,                0.86435,                 1.0799,             0.00063983,             0.00063983,             0.00063983
                     51,                 1.0049,                0.85553,                 1.0333,                0.59373,                0.56832,                0.57599,                0.36121,                 1.1119,                0.93979,                 1.0929,             0.00063832,             0.00063832,             0.00063832
                     52,                0.93952,                0.82694,                 1.0313,                0.61639,                0.54373,                0.58221,                0.37131,                 1.0597,                0.91492,                 1.0795,             0.00063697,             0.00063697,             0.00063697
                     53,                 1.0132,                0.90597,                 1.0535,                0.57527,                0.60926,                0.59296,                0.37084,                 1.0651,                0.90999,                 1.0764,             0.00063563,             0.00063563,             0.00063563
                     54,                 1.0123,                0.82372,                 1.0502,                0.62588,                0.55136,                0.58957,                0.37561,                 1.0704,                0.89406,                 1.0872,             0.00063412,             0.00063412,             0.00063412
                     55,                0.94931,                0.82905,                 1.0203,                0.68053,                0.55781,                 0.6172,                0.38729,                 1.0627,                0.87678,                 1.0731,             0.00063279,             0.00063279,             0.00063279
                     56,                0.98562,                0.83122,                 1.0352,                0.61735,                0.58346,                0.60024,                0.38364,                 1.0584,                0.87515,                  1.068,             0.00063128,             0.00063128,             0.00063128
                     57,                0.93064,                0.80558,                 1.0288,                0.62496,                0.59793,                0.59336,                 0.3785,                 1.0445,                0.88651,                 1.0582,             0.00062996,             0.00062996,             0.00062996
                     58,                 1.0139,                0.88377,                 1.0475,                0.63882,                0.55017,                0.59523,                0.37896,                 1.0663,                0.91837,                 1.0874,             0.00062846,             0.00062846,             0.00062846
                     59,                0.96491,                 0.7721,                 1.0252,                0.63655,                0.59074,                0.61242,                0.38935,                 1.0713,                0.84359,                 1.0807,             0.00062696,             0.00062696,             0.00062696
                     60,                0.99826,                0.81808,                 1.0468,                0.61032,                0.59362,                0.60618,                0.38555,                 1.0544,                0.89874,                 1.0673,             0.00062564,             0.00062564,             0.00062564
                     61,                0.95695,                0.77334,                 1.0116,                0.65454,                 0.5789,                0.61915,                0.39216,                 1.0584,                0.88819,                 1.0718,             0.00062414,             0.00062414,             0.00062414
                     62,                 1.0242,                0.83349,                 1.0425,                0.56499,                0.61374,                0.58739,                0.37086,                 1.0489,                0.97817,                  1.073,             0.00062265,             0.00062265,             0.00062265
                     63,                0.93076,                0.78944,                0.98734,                 0.6276,                0.60416,                0.60854,                0.38541,                 1.0451,                0.88034,                 1.0672,             0.00062135,             0.00062135,             0.00062135
                     64,                0.96099,                0.89254,                 1.0363,                0.63486,                0.60407,                0.62322,                0.40672,                 1.0352,                0.83935,                  1.064,             0.00061985,             0.00061985,             0.00061985
                     65,                0.94933,                0.80146,                 1.0061,                0.61748,                0.57998,                0.59232,                0.37385,                 1.0618,                0.89565,                 1.0705,             0.00061856,             0.00061856,             0.00061856
                     66,                0.96645,                0.83578,                 1.0053,                0.63573,                0.56227,                0.60329,                0.38027,                 1.0467,                0.92311,                 1.0595,             0.00061707,             0.00061707,             0.00061707
                     67,                0.93022,                0.77148,                 1.0418,                0.65126,                0.61604,                0.63172,                0.40072,                 1.0532,                0.85925,                 1.0668,             0.00061558,             0.00061558,             0.00061558
                     68,                0.95733,                0.77303,                 1.0147,                 0.6236,                0.58587,                0.59864,                0.37885,                 1.0344,                0.90033,                 1.0467,             0.00061409,             0.00061409,             0.00061409
                     69,                0.93802,                0.76236,                0.98601,                0.65431,                0.55626,                0.60505,                0.38664,                 1.0384,                0.92255,                 1.0559,             0.00061281,             0.00061281,             0.00061281
                     70,                0.96311,                0.76679,                 1.0181,                0.63925,                0.57365,                0.61223,                0.38956,                 1.0615,                0.92772,                 1.0676,             0.00061132,             0.00061132,             0.00061132
                     71,                0.92882,                0.75057,                0.99288,                0.64326,                0.59477,                0.62035,                0.40219,                 1.0285,                0.85263,                 1.0563,             0.00060983,             0.00060983,             0.00060983
                     72,                0.89192,                 0.6922,                 1.0277,                0.64553,                0.61186,                0.61192,                0.38836,                 1.0335,                0.91112,                 1.0501,             0.00060857,             0.00060857,             0.00060857
                     73,                0.99709,                0.79193,                 1.0058,                0.58314,                0.64049,                 0.6214,                0.39664,                  1.058,                0.89521,                 1.0701,             0.00060708,             0.00060708,             0.00060708
                     74,                0.90919,                0.73171,                 1.0015,                0.65228,                0.57703,                0.61651,                0.39783,                  1.066,                0.88634,                 1.0774,              0.0006056,              0.0006056,              0.0006056
                     75,                0.92882,                0.69755,                0.99816,                0.64204,                0.55454,                0.60381,                0.38075,                  1.048,                0.91988,                 1.0719,             0.00060434,             0.00060434,             0.00060434
                     76,                0.95527,                0.73972,                 1.0155,                0.68394,                0.60022,                0.63898,                0.41172,                 1.0412,                0.85066,                 1.0596,             0.00060286,             0.00060286,             0.00060286
                     77,                0.91909,                0.72894,                 1.0118,                0.66154,                0.60851,                0.64663,                0.41338,                 1.0473,                0.84191,                  1.067,             0.00060138,             0.00060138,             0.00060138
                     78,                0.96429,                0.77435,                 1.0224,                0.65072,                0.56698,                0.60675,                0.38482,                 1.0369,                0.90802,                 1.0575,             0.00059989,             0.00059989,             0.00059989
                     79,                0.98705,                0.72102,                 1.0266,                  0.665,                 0.6168,                0.63315,                0.39755,                 1.0427,                 0.8613,                 1.0549,             0.00059865,             0.00059865,             0.00059865
